Contact Form 7,https://wordpress.org/plugins/contact-form-7/,1470
Yoast SEO,https://wordpress.org/plugins/wordpress-seo/,18487
Akismet Anti-Spam,https://wordpress.org/plugins/akismet/,855
Jetpack by WordPress.com,https://wordpress.org/plugins/jetpack/,1461
