NEM,XEM,https://coinmarketcap.com/currencies/nem/,$0.05
PancakeSwap,CAKE,https://coinmarketcap.com/currencies/pancakeswap/,$3.03
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,$0.48
Fei USD,FEI,https://coinmarketcap.com/currencies/fei-usd/,$0.99
Curve DAO Token,CRV,https://coinmarketcap.com/currencies/curve-dao-token/,$0.77
Kusama,KSM,https://coinmarketcap.com/currencies/kusama/,$48.90
Kava,KAVA,https://coinmarketcap.com/currencies/kava/,$1.80
Celo,CELO,https://coinmarketcap.com/currencies/celo/,$0.87
Amp,AMP,https://coinmarketcap.com/currencies/amp/,$0.01
Gala,GALA,https://coinmarketcap.com/currencies/gala/,$0.05
Holo,HOT,https://coinmarketcap.com/currencies/holo/,$0.00
1inch Network,1INCH,https://coinmarketcap.com/currencies/1inch/,$0.64
Mina,MINA,https://coinmarketcap.com/currencies/mina/,$0.62
Arweave,AR,https://coinmarketcap.com/currencies/arweave/,$10.22
Compound,COMP,https://coinmarketcap.com/currencies/compound/,$46.79
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,$0.58
Decred,DCR,https://coinmarketcap.com/currencies/decred/,$22.36
GateToken,GT,https://coinmarketcap.com/currencies/gatetoken/,$4.01
XDC Network,XDC,https://coinmarketcap.com/currencies/xinfin/,$0.02
Symbol,XYM,https://coinmarketcap.com/currencies/symbol/,$0.05
Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix-network-token/,$2.57
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/,$2.80
BORA,BORA,https://coinmarketcap.com/currencies/bora/,$0.30
Gnosis,GNO,https://coinmarketcap.com/currencies/gnosis-gno/,$109.32
Kadena,KDA,https://coinmarketcap.com/currencies/kadena/,$1.49
Storj,STORJ,https://coinmarketcap.com/currencies/storj/,$0.68
